"qname","qtype","value"
"cdn.00000000a0540000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000061380000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000049650000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ed4d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000042a30000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000005000000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000d5320000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000006b0f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000009a460000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008a9a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000093220000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ac060000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000063030000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000411d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000008620000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000075300000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c21e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000600d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f81f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000002390000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004caa0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000906e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000010940000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000008b50000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e1770000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000023250000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000514b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000038530000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000eb780000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000509c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000067360000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000006c740000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000005a0f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ed300000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000907f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008e7f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000007ab50000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000cfb50000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000fb630000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000020370000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008a620000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c5310000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ff9e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c74c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b27e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c95a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008e030000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004e300000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b4090000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000002e550000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000be1a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000426c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000073470000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000029490000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.3f576a3a0500000004b801000000.0100.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000007f770000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000000b4f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000059e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000034310000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000fa5d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000bf2f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b0690000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c9210000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000179c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e8a00000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000037360000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.e5fab77227000000070087000000.ns1.brownswer.com","28","49::"
"cdn.000000000fb60000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e5990000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000d5930000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.cd7b7fff1c00000004a802000000.0010db2ae0a9801a64a751a75e375c6f29dde182662fe2db8358e07e750095.73351b0201.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000067950000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000009f0a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000962f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000037610000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000004370000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000038880000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008c6d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008bb00000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000037200000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ba3c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e4400000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000055150000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e1460000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000078000000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000088070000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008b2a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000077450000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000006a4c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000009f6e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000d8a80000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c6240000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000eb110000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004e360000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b6070000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000190d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000630f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000469a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c11c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000219e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004f4a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b68c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000bda70000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000315a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000fd430000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000060050000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000d9a70000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004e630000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000dc270000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004f770000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b0b70000010000000000.ns1.brownswer.com","1","8.8.8.8"
